loss,accuracy,0 true,1 true,conv_layers,conv_nodes,dense_layers,dense_nodes,optimizer,loss_function,epoch,batch_size
0.488991,0.7486000061035156,1668,2075,1,10,2,128,adam,binary_crossentropy,2,128
0.079883,0.7667999863624573,1994,1840,1,10,2,128,adam,huber_loss,2,128
0.157887,0.7681999802589417,1960,1881,1,10,2,128,adam,mean_squared_error,2,128
0.485952,0.7605999708175659,1904,1899,1,10,2,128,Nadam,binary_crossentropy,2,128
0.077551,0.7724000215530396,1898,1964,1,10,2,128,Nadam,huber_loss,2,128
0.159925,0.7652000188827515,1913,1913,1,10,2,128,Nadam,mean_squared_error,2,128
0.489674,0.7541999816894531,1734,2037,1,10,2,128,RMSprop,binary_crossentropy,2,128
0.081609,0.7572000026702881,1641,2145,1,10,2,128,RMSprop,huber_loss,2,128
0.161019,0.7591999769210815,1735,2061,1,10,2,128,RMSprop,mean_squared_error,2,128
0.635195,0.6615999937057495,2360,948,1,10,2,128,SGD,binary_crossentropy,2,128
0.123134,0.6567999720573425,1467,1817,1,10,2,128,SGD,huber_loss,2,128
0.120744,0.6651999950408936,1231,2095,1,10,2,128,SGD,huber_loss,2,128
0.121938,0.6801999807357788,1653,1748,1,10,2,128,SGD,huber_loss,2,128
0.244018,0.6891999840736389,1769,1677,1,10,2,128,SGD,mean_squared_error,2,128
0.239992,0.6603999733924866,2040,1262,1,10,2,128,SGD,mean_squared_error,2,128
0.241279,0.6794000267982483,1534,1863,1,10,2,128,SGD,mean_squared_error,2,128
